['rower', 'hammersmith_bridge', 'rowed', 'mile_post', 'rowing', 'cambridge', 'boat_race', 'chiswick_steps', 'oxford', 'university_of_oxford']
['spore', 'hyphae', 'basidia', 'cystidia', 'spored', 'spores', 'mycologist', 'fungus', 'hyaline', 'edibility']
['coaster', 'railway', 'trains', 'locomotives', 'construction', 'railways', 'roller', 'coasters', 'traffic', 'terminus']
['tissue', 'symptoms', 'cells', 'pregnancy', 'tissues', 'diagnosis', 'arterial', 'medication', 'clinical', 'therapy']
['castle', 'gatehouse', 'nave', 'chancel', 'stonework', 'ashlar', 'buttresses', 'pilasters', 'architectural', 'storeys']
['song', 'chart', 'mtv_news', 'certifications', 'video', 'australian_recording_industry_association', 'sal_cinquemani', 'billboard', 'lyrically', 'peaked']
['album', 'albums', 'vocals', 'band', 'songs', 'guitar', 'rolling_stone', 'lyrics', 'recording', 'guitars']
['constitutional', 'courts', 'supreme_court', 'judicial', 'jurisdiction', 'legislative', 'court', 'law', 'constitution', 'parliament']
['organisms', 'mathematical', 'formula', 'impedance', 'equations', 'algebraic', 'molecular', 'mathematics', 'evolutionary', 'infinite']
['game', 'ign', 'player', 'video', 'metacritic', 'console', 'nintendo', 'games', 'reviewers', 'usb']
['episode', 'scully', 'mulder', 'fox_mulder', 'dana_scully', 'david_duchovny', 'gillian_anderson', 'episodes', 'simpsons', 'x-files']
['vishnu', 'shiva', 'purana', 'inscriptions', 'dynasty', 'deity', 'iconography', 'temple', 'parvati', 'hindu']
['novel', 'doctrines', 'book', 'fleming', 'scripture', 'theologians', 'theology', 'teachings', 'religions', 'sexuality']
['route', 'highway', 'intersection', 'intersects', 'interchange', 'intersections', 'renumbering', 'concurrency', 'terminus', 'national_highway_system']
['hergé', 'painting', 'paintings', 'tintin', 'comics', 'fiction', 'illustrations', 'literary', 'novel', 'adventures_of_tintin']
['subspecies', 'breeding', 'species', 'habitat', 'breed', 'breeds', 'habitats', 'populations', 'plumage', 'underparts']
['election', 'republicans', 'democrats', 'senate', 'republican', 'legislature', 'nomination', 'democratic', 'candidacy', 'republican_party']
['compounds', 'hydroxide', 'reacts', 'isotopes', 'oxidation', 'bombarding', 'silvery', 'manhattan_project', 'isotope', 'fission']
['creek', 'interchange', 'highway', 'watershed', 'freeway', 'tributaries', 'interchanges', 'tributary', 'lanes', 'susquehanna_river']
['episode', 'storyline', 'championship', 'defeated', 'match', 'storylines', 'rematch', 'backstage', 'singles', 'scripted']
['siege', 'battle', 'troops', 'continental_army', 'army', 'marched', 'ibn', 'byzantines', 'byzantine', 'caliph']
['guns', 'armament', 'turrets', 'aft', 'waterline', 'boilers', 'torpedo', 'conning', 'knots', 'mounts']
['diameter', 'star', 'latitudes', 'surface', 'velocity', 'voyager', 'equatorial', 'temperature', 'planet', 'equator']
['squadron', 'raaf', 'bombers', 'squadrons', 'aircraft', 'jagdgeschwader', 'geschwaderkommodore', 'commander', 'royal_australian_air_force', 'sorties']
['serbs', 'croats', 'yugoslav', 'jna', 'croatian', 'serb', 'jews', 'chetnik', 'serbia', 'chetniks']
['episode', 'rainn_wilson', 'dwight', 'john_krasinski', 'jenna_fischer', 'alan_sepinwall', 'pam', 'jim_halpert', 'dunder', 'ed_helms']
['aircraft', 'mint', 'coinage', 'numismatic', 'coins', 'mintage', 'obverse', 'engraver', 'philadelphia_mint', 'coin']
['season', 'nhl', 'games', 'puck', 'tournament', 'hockey', 'canucks', 'playoffs', 'team', 'goaltender']
['archbishop_of_canterbury', 'ecclesiastical', 'archbishop', 'bishops', 'earl', 'clergy', 'papal', 'henry_ii', 'papacy', 'heir']
['viewers', 'glee', 'storylines', 'comedy', 'emmy', 'new_directions', 'actress', 'primetime', 'matthew_morrison', 'eastenders']
['artillery', 'casualties', 'battalion', 'north', 'infantry', 'troops', 'brigade', 'guns', 'battalions', 'reinforcements']
['species', 'genus', 'specimen', 'fossils', 'genera', 'specimens', 'taxonomy', 'phylogeny', 'clade', 'phylogenetic']
['album', 'billboard', 'chart', 'song', 'albums', 'allmusic', 'vocals', 'recording_industry_association_of_america', 'certifications', 'albums_chart']
['mph', 'northeastward', 'tropical', 'flooding', 'hurricane', 'westward', 'rainfall', 'northwestward', 'northward', 'peaking']
['demography', 'population', 'census', 'councillors', 'wards', 'constituency', 'parish', 'households', 'borough', 'domesday']
['tour', 'innings', 'wicket', 'england', 'runs', 'wickets', 'batsmen', 'cricket', 'bowled', 'scored']
['gdp', 'world_bank', 'burger_king', 'capita', 'menu', 'billion', 'ceo', 'sales', 'cuisines', 'economies']
['film', 'filming', 'rotten_tomatoes', 'grossing', 'films', 'screenplay', 'roger_ebert', 'script', 'grossed', 'blu']
['ships', 'ship', 'frigates', 'hms', 'cruiser', 'broadside', 'wilhelmshaven', 'frigate', 'admiral', 'convoy']
['flooding', 'precipitation', 'rainfall', 'mph', 'landslides', 'moisture', 'winds', 'damage', 'national_weather_service', 'flooded']
['season', 'club', 'uefa', 'relegation', 'stadium', 'champions_league', 'wembley', 'football_league', 'premier_league', 'champions']
['mph', 'tropical', 'westward', 'southeast', 'northwest', 'northeast', 'convection', 'northeastward', 'rainfall', 'northwestward']
['season', 'hits', 'games', 'inning', 'pitcher', 'mlb', 'game', 'strikeouts', 'hitter', 'san_francisco_giants']
['campus', 'alumni', 'faculty', 'students', 'enrollment', 'undergraduate', 'undergraduates', 'university', 'endowment', 'breed']
['yards', 'halftime', 'game', 'season', 'yard', 'bcs', 'touchdown', 'passes', 'interception', 'intercepted']
['boilers', 'conning', 'knots', 'guns', 'waterline', 'amidships', 'torpedo', 'tons', 'ship', 'aft']
['cantata', 'music', 'chorale', 'cantatas', 'alfred_dürr', 'bach', 'continuo', 'bwv', 'premiere', 'musical']
['shackleton', 'expedition', 'ernest_shackleton', 'murder', 'royal_geographical_society', 'murders', 'detectives', 'puritan', 'duchess', 'gunmen']
['album', 'billboard', 'song', 'chart', 'certifications', 'recording_industry_association_of_america', 'riaa', 'australian_recording_industry_association', 'lyrically', 'peaked']
['characters', 'character', 'game', 'manga', 'anime', 'ign', 'square_enix', 'final_fantasy', 'soundtrack', 'rpgfan']
